;;;;;
;; RESULTADO DE JULGAMENTO - PROPOSTAS  APROVADAS PARA CONTRATAÇÃO;;;
;;Edital 21/2008 - Programa Primeiros Projetos;;;
;;;;;
ATENÇÃO : Todas as instituições que tiverem propostas aprovadas deverão atualizar seu credenciamento na FAPEMIG até 10 dias corridos da publicação dos resultados, sob pena de desclassificação das propostas.  A situação cadastral das instituições poderá ser verificada no endereço : http://www.fapemig.br/cadastro/;;;;;
;;;;;
;;;;;
;;;;;
#;PROC.;COORDENADOR;TÍTULO;INSTITUIÇÃO; VALOR 
49; APQ-00376-09; Júnia Sales Pereira;" Tematizando Os Ofícios; Caixa Virtual De História: Abordagem De Temas Do Museu De Artes E Ofícios Em Visitas Escolares"; UFMG;21.168,00
50; APQ-00384-09; Heitor Avelino De Abreu; Estudo Teórico Da Especiação Química De Metais De Transição Em Meio Aquoso E Seu Processo De Retenção No Meio Ambiente; UFMG;29.925,00
51; APQ-00394-09; Gustavo Ferreira Martins;" Estudo Comparativo Das Espermatecas De Fêmeas Virgens E Fertilizadas De Aedes (Stegomyia) Aegypti (Diptera; Nematocera) (Linnaeus, 1762)"; UFV;23.677,71
52; APQ-00395-09; Fernando Madalena Volpe; Avaliação Quantitativa E Qualitativa Da Assistência Em Saúde Mental Do Hospital Galba Velloso No Período De 2001 A 2009; FHEMIG;22.311,45
53; APQ-00397-09; Paulo Rogério De Faria; Estudo Da Carcinogênese Bucal Em Camundongos Knockout Para Galectina-3: Perfil Da Expressão Imuno-Histoquímica De Ciclina D1, C-Myc, Beta-Catenina, Apc E Gsk-3Beta; UFU;28.355,25
54; APQ-00400-09; Edgar De Alencar Teixeira; Determinação De Exigências Nutricionais De Proteína E Energia Do Surubim Em Diferentes Fases De Vida; UFMG;29.925,00
55; APQ-00402-09; Ricarda Maria Dos Santos; Incidência De Endometrite E Os Efeitos No Desempenho Reprodutivo De Vacas Leiteiras Mestiças; UFU;21.174,62
56; APQ-00409-09; Flávia Lúcia Chein Feres; Acesso Ao Mercado De Crédito E Decisões De Investimento; UFMG;21.107,10
57; APQ-00414-09; Angela França Versiani; Aprendizagem Das Organizações E Modelos De Gestão Educacional; PUC-MINAS;22.280,57
58; APQ-00417-09; José Paulo Leite Guadanucci; Levantamento Das Aranhas Mygalomorphae Da Serra Do Espinhaço Meridional (Arachnida, Araneae); UFVJM;23.198,24
59; APQ-00418-09; Rogério Martins Gomes; Robôs Emocionais E Cognitivos Baseados Em Sistemas Nervosos Artificiais; CEFET BH;25.116,00
60; APQ-00425-09; Jorge Alberto Dos Santos; Implantação De Laboratório De Simulações Organizacionais Na Universidade Federal De Viçosa; UFV;18.795,88
61; APQ-00428-09; Juliana Costa De Rezende; Identificação E Seleção De Progênies Resistentes A Ferrugem Do Cafeeiro (Hemileia Vastatrix) E Ao Nematóide Das Galhas (Meloidogyne Exigua).; EPAMIG;21.407,40
62; APQ-00429-09; Analise De Jesus Da Silva; Estado Do Conhecimento Sobre Educação De Jovens E Adultos, Tecnologias Da Informação E Da Comunicação E Suas Interfaces Na Região Metropolitana De Belo Horizonte; UFMG;19.699,83
63; APQ-00440-09; Daniel Luís Barreiro; Composição E Improvisação Musical Com Recursos Eletroacústicos Em Tempo-Real; UFU;20.475,00
64; APQ-00444-09; Adivane Terezinha Costa;  Sedimentologia E Estratigrafia Química De Planícies De Inundação E Terraços Aluviais Da Sub-Bacia Do Rio Piranga, Sudeste Do Quadrilátero Ferrífero – Mg; UFOP;18.935,28
65; APQ-00447-09; Cynthia Soares Carneiro; Adoção Internacional: A Eficácia Da Comissão Estadual Judiciária De Adoção Internacional No Acompanhamento Da Criança Brasileira Adotada Por Casal Estrangeiro; PUC-MINAS;6.090,00
66; APQ-00451-09; Iara Vieira Guimaraes; Território, Territorialidades E Globalização No Discurso Jornalístico Produzido Para O Público Infantil Escolar; UFU;18.816,00
67; APQ-00452-09; Fabiano Vargas Pereira; Preparação De Nanobiocompósitos Reforçados Com Nanowhiskers De Celulose; UFMG;29.505,00
68; APQ-00462-09; Rita Cristina De Souza Santos; Juventude Vulnerável, Territórios Estigmatizados E Saúde Na Princesa Dos Vales; Univale;16.822,83
69; APQ-00465-09; Virginia Ramos Pizziolo; Estudo Fitoquímico E Avaliação Da Atividade Antiperoxidativa, In Vitro, De Extratos De Plantas Medicinais; UFV;24.990,00
70; APQ-00475-09; André Guimarães Ferreira; Projeto, Construção E Simulação De Um Secador (Adaptável Como Secador Híbrido Solar-Elétrico); CEFET BH;20.454,00
71; APQ-00476-09; José Paulo Carvalho Dos Santos; Resultados De Existência Para Equações De Evolução Integro-Diferenciais Neutras; UNIFAL -MG;4.871,14
72; APQ-00478-09; Maria Cecília Pereira; Aprendizagem, Inovação E Desenvolvimento De Competências: O Caso Das Empresas Nascentes De Base Tecnológica De Origem Acadêmica Da Ufla-Mg; UFMG;24.164,07
73; APQ-00479-09; Ana Paula Rodrigues; Avaliação Da Citotoxicidade Do Sistema Compostos  Beta-Dicarbonílicos/Horseradish Peroxidase/O2; UFVJM;23.186,85
74; APQ-00489-09; Camila Megale De Almeida Leite; Alterações Histopatológicas E Expressão De Neuropeptídeos E Mediadores Inflamatótios ; UFOP;29.776,30
75; APQ-00497-09; Sauloeber Tarsio De Souza; Educação Escolar E Imprensa (Ituiutaba - Anos 50 E 60) ; UFU;9.975,00
76; APQ-00500-09; Simone Costa Nunes; O Desenvolvimento De Competências Em Cursos De Graduação Em Administração; PUC-MINAS;14.631,27
77; APQ-00502-09; Vanessa Sena Tomaz; A Atividade De Aprendizagem Matemática No Ensino Médio Estruturada Na Perspectiva Da Contextualização E Interdisciplinaridade; UFMG;15.879,78
78; APQ-00510-09; Adalberto Dos Santos Souza; As Aulas De Educação Física No Ensino Médio Em São João Del Rei: Uma Análise Das Representações Dos Alunos; UFSJ;16.545,59
79; APQ-00517-09; Fernando De Oliveira Rocha; Performance De Música Contemporânea Para Percussão; UFMG;29.925,00
80; APQ-00521-09; Lívia Mendes De Carvalho; Estratégias Alternativas Para Controle De Pragas Em Cultivo De Roseira De Sistema De Produção Integrada ; EPAMIG;24.706,50
81; APQ-00523-09; Letizia Monteiro De Barros; Experiência De Cárie E Diversidade Genética De Microrganismos Cariogênicos Em Indivíduos Com Fissuras Lábio-Palatais: Estudo Caso-Controle.; UNIFENAS;29.952,51
82; APQ-00526-09; Beno Wendling; Dinâmica E Compartimentalização De Carbono E Sua Modelagem Pelo Century Em Áreas De Cana-De-Açúcar No Triângulo Mineiro; UFU;25.672,50
